codigo,nombre,apellido,telefono,password,rol_id,curso
2095,Lilian,Castro,61661926,lilian2095,2,3
2096,Carolina,Mamani,78294599,carolina2096,2,3
2097,Claudia,Huanca,67863606,claudia2097,2,3
2098,Patricia,Garcia,67800376,patricia2098,2,3
2099,Romina,Quisbert,69082434,romina2099,2,3
2100,Roberto,Flores,61244672,roberto2100,2,3
2101,Ernesto,Gutierrez,65897924,ernesto2101,2,3
2102,Freddy,Saavedra,69703543,freddy2102,2,3
2103,Lourdes,Cespedes,63475990,lourdes2103,2,3
2104,Eduardo,Marquez,64458010,eduardo2104,2,3
2105,Natalia,Castillo,72192616,natalia2105,2,3
2106,Veronica,Choque,75599542,veronica2106,2,3
2107,Lourdes,Aramayo,68512888,lourdes2107,2,3
2108,Julio,Arnez,66183279,julio2108,2,3
2109,Ricardo,Auza,62407694,ricardo2109,2,3
2110,Alvaro,Ortega,65087033,alvaro2110,2,3
2111,Edgar,Salazar,73427570,edgar2111,2,3
2112,Gustavo,Delgado,75997868,gustavo2112,2,3
2113,Elena,Castillo,67581115,elena2113,2,3
2114,Paola,Cardozo,64043526,paola2114,2,3
2115,Carolina,Marquez,68185213,carolina2115,2,3
2116,Julio,Auza,67381154,julio2116,2,3
2117,Javier,Cespedes,61949086,javier2117,2,3
2118,Eduardo,Rojas,68577666,eduardo2118,2,3
2119,Diego,Navarro,65360587,diego2119,2,3
2120,Diego,Huanca,73244603,diego2120,2,4
2121,Julio,Flores,77998259,julio2121,2,4
2122,Carlos,Castillo,74958332,carlos2122,2,4
2123,Daniel,Auza,67128053,daniel2123,2,4
2124,Julio,Saavedra,79356904,julio2124,2,4
2125,Erika,Limachi,69665803,erika2125,2,4
2126,Roberto,Arnez,65009743,roberto2126,2,4
2127,Lilian,Bautista,61443882,lilian2127,2,4
2128,Guido,Franco,67089218,guido2128,2,4
2129,Maria,Cardozo,72676010,maria2129,2,4
2130,Alvaro,Ortega,78383376,alvaro2130,2,4
2131,Fernando,Torrez,64382863,fernando2131,2,4
2132,Rebeca,Bautista,68485376,rebeca2132,2,4
2133,Fernando,Quispe,62236363,fernando2133,2,4
2134,Marcelo,Choque,71432411,marcelo2134,2,4
2135,Paula,Alvarez,77602082,paula2135,2,4
2136,Lilian,Garcia,78823690,lilian2136,2,4
2137,Edgar,Mamani,72288678,edgar2137,2,4
2138,Gustavo,Cespedes,78585570,gustavo2138,2,4
2139,Natalia,Arce,76455028,natalia2139,2,4
2140,Rebeca,Chambi,77182404,rebeca2140,2,4
2141,Yesica,Auza,62590588,yesica2141,2,4
2142,Milton,Quispe,67911742,milton2142,2,4
2143,Rebeca,Quisbert,79693834,rebeca2143,2,4
2144,Silvia,Rojas,77001871,silvia2144,2,4
2145,Angel,Salazar,65242250,angel2145,2,4
2146,Lilian,Paz,67452258,lilian2146,2,4
2147,Paula,Garcia,79099523,paula2147,2,4
2148,Patricia,Aliaga,71929250,patricia2148,2,4
2149,Oscar,Aliaga,77928942,oscar2149,2,4
2150,Freddy,Aguilar,68451024,freddy2150,2,4
2151,Milton,Aguilar,71677826,milton2151,2,4
2152,Patricia,Miranda,61330563,patricia2152,2,4
2153,Gustavo,Aliaga,73787525,gustavo2153,2,4
2154,Daniel,Cespedes,75858033,daniel2154,2,4
2155,Mauricio,Vargas,69005407,mauricio2155,2,4
2156,Freddy,Franco,62462906,freddy2156,2,4
2157,Veronica,Medina,62812878,veronica2157,2,4
2158,Gustavo,Quispe,64148235,gustavo2158,2,4
2159,Victor,Paz,63698965,victor2159,2,4
2160,Julio,Quispe,64001617,julio2160,2,5
2161,Juan,Ortega,66582836,juan2161,2,5
2162,Alvaro,Arnez,64490258,alvaro2162,2,5
2163,Rebeca,Vargas,79930398,rebeca2163,2,5
2164,Juan,Loayza,71339458,juan2164,2,5
2165,Karen,Escobar,77187908,karen2165,2,5
2166,Angel,Vega,62770908,angel2166,2,5
2167,Luis,Medina,68604431,luis2167,2,5
2168,Milton,Bautista,71922822,milton2168,2,5
2169,Erika,Condori,68738361,erika2169,2,5
2170,Walter,Cardozo,67786182,walter2170,2,5
2171,Sandra,Ayala,64363239,sandra2171,2,5
2172,Marcelo,Solis,75570526,marcelo2172,2,5
2173,Paula,Escobar,75469484,paula2173,2,5
2174,Eduardo,Castro,61550681,eduardo2174,2,5
2175,Wilma,Flores,65351012,wilma2175,2,5
2176,Lizeth,Limachi,61149802,lizeth2176,2,5
2177,Victor,Arce,73552969,victor2177,2,5
2178,Walter,Arnez,65637194,walter2178,2,5
2179,Paula,Vega,73429459,paula2179,2,5
2180,Juan,Loayza,66679884,juan2180,2,5
2181,Patty,Vega,77543309,patty2181,2,5
2182,Yesica,Vega,67362982,yesica2182,2,5
2183,Karen,Huanca,69452666,karen2183,2,5
2184,Edgar,Gutierrez,78870168,edgar2184,2,5
2185,Karen,Huanca,69840708,karen2185,2,5
2186,Freddy,Llanque,71922830,freddy2186,2,5
2187,Diego,Gutierrez,64799516,diego2187,2,5
2188,Julio,Aliaga,63420329,julio2188,2,5
2189,Maria,Loayza,74619278,maria2189,2,5
2190,Rebeca,Loayza,76644939,rebeca2190,2,5
2191,Silvia,Delgado,78901981,silvia2191,2,5
2192,Mauricio,Medina,62803274,mauricio2192,2,5
2193,David,Chambi,71093419,david2193,2,5
2194,Freddy,Paz,73905680,freddy2194,2,5
2195,Diego,Solis,79003807,diego2195,2,5
2196,Angel,Limachi,69364361,angel2196,2,5
2197,Diego,Cardozo,78149266,diego2197,2,5
2198,Yesica,Castillo,74039416,yesica2198,2,5
2199,David,Marquez,65229416,david2199,2,5
2200,Natalia,Delgado,79411553,natalia2200,2,6
2201,Carla,Solis,63574876,carla2201,2,6
2202,Lizeth,Chambi,79652347,lizeth2202,2,6
2203,Maria,Garcia,69564811,maria2203,2,6
2204,Lizeth,Vargas,63356301,lizeth2204,2,6
2205,Daniel,Vega,64705806,daniel2205,2,6
2206,Wilma,Aramayo,74803512,wilma2206,2,6
2207,Carolina,Auza,64792474,carolina2207,2,6
2208,Natalia,Llanque,62466696,natalia2208,2,6
2209,Valeria,Lopez,67077123,valeria2209,2,6
2210,Yesica,Aliaga,62995157,yesica2210,2,6
2211,Veronica,Alvarez,69090985,veronica2211,2,6
2212,Paola,Cardozo,78598044,paola2212,2,6
2213,Natalia,Marquez,64157645,natalia2213,2,6
2214,Angel,Condori,71210130,angel2214,2,6
2215,Mauricio,Ortega,62989455,mauricio2215,2,6
2216,Angel,Limachi,65026201,angel2216,2,6
2217,Lizeth,Rojas,72122586,lizeth2217,2,6
2218,Silvia,Franco,62292241,silvia2218,2,6
2219,Diego,Franco,79803378,diego2219,2,6
2220,Paola,Marquez,71945036,paola2220,2,6
2221,Ernesto,Solis,78637649,ernesto2221,2,6
2222,Marcelo,Arce,62809582,marcelo2222,2,6
2223,Oscar,Quisbert,67500065,oscar2223,2,6
2224,Romina,Llanque,63575136,romina2224,2,6
2225,Lourdes,Quispe,64402294,lourdes2225,2,6
2226,Patty,Miranda,67436754,patty2226,2,6
2227,Lourdes,Calle,64614020,lourdes2227,2,6
2228,Claudia,Lopez,74055963,claudia2228,2,6
2229,Paula,Cespedes,73492065,paula2229,2,6
2230,Erika,Medina,66648736,erika2230,2,6
2231,Angel,Arce,71908168,angel2231,2,6
2232,Luis,Ortega,66107385,luis2232,2,6
2233,Roberto,Torrez,76936220,roberto2233,2,6
2234,Eduardo,Flores,64363660,eduardo2234,2,6
2235,Walter,Aliaga,65214089,walter2235,2,6
2236,Julio,Lopez,63679005,julio2236,2,6
2237,Marcelo,Ayala,63703410,marcelo2237,2,6
2238,Paula,Salazar,66023774,paula2238,2,6
2239,Patty,Aramayo,78724502,patty2239,2,6
2240,Lizeth,Cespedes,62925538,lizeth2240,2,7
2241,Carolina,Castro,75835335,carolina2241,2,7
2242,Patty,Alvarez,75248501,patty2242,2,7
2243,Lizeth,Choque,69514051,lizeth2243,2,7
2244,Gustavo,Rojas,73330239,gustavo2244,2,7
2245,Oscar,Rojas,73610230,oscar2245,2,7
2246,Diego,Medina,66819304,diego2246,2,7
2247,Carolina,Rivera,76219469,carolina2247,2,7
2248,Romina,Gutierrez,64328322,romina2248,2,7
2249,Karen,Escobar,67464746,karen2249,2,7
2250,Erika,Rojas,69909163,erika2250,2,7
2251,Fernando,Vargas,78539042,fernando2251,2,7
2252,David,Salazar,79672265,david2252,2,7
2253,Maria,Huanca,63601751,maria2253,2,7
2254,Javier,Aramayo,63939013,javier2254,2,7
2255,Natalia,Cespedes,72151315,natalia2255,2,7
2256,Carolina,Rivera,63191103,carolina2256,2,7
2257,Oscar,Quisbert,68690356,oscar2257,2,7
2258,Marcelo,Navarro,66755611,marcelo2258,2,7
2259,Silvia,Salazar,64592698,silvia2259,2,7
2260,Javier,Medina,77928169,javier2260,2,7
2261,Gustavo,Navarro,71922858,gustavo2261,2,7
2262,Milton,Alvarez,74774321,milton2262,2,7
2263,Marcelo,Mamani,62208036,marcelo2263,2,7
2264,Patty,Auza,68678675,patty2264,2,7
2265,Edgar,Marquez,63544229,edgar2265,2,7
2266,Freddy,Marquez,64454987,freddy2266,2,7
2267,Ricardo,Franco,78368177,ricardo2267,2,7
2268,Paula,Gutierrez,79994445,paula2268,2,7
2269,Raul,Choque,63434156,raul2269,2,7
2270,Paula,Calle,68473928,paula2270,2,7
2271,Daniel,Delgado,72568555,daniel2271,2,7
2272,Romina,Ayala,74835058,romina2272,2,7
2273,Milton,Garcia,76392476,milton2273,2,7
2274,Juan,Vargas,66393246,juan2274,2,7
2275,Daniel,Paz,68367352,daniel2275,2,7
2276,Natalia,Lopez,71342763,natalia2276,2,7
2277,Walter,Auza,65756690,walter2277,2,7
2278,Juan,Marquez,78944317,juan2278,2,7
2279,Marcelo,Quispe,67236279,marcelo2279,2,7
2280,Guido,Paz,71852716,guido2280,2,8
2281,Ricardo,Miranda,68750281,ricardo2281,2,8
2282,Patricia,Rivera,62721670,patricia2282,2,8
2283,Romina,Paz,74573484,romina2283,2,8
2284,Paula,Cespedes,79901228,paula2284,2,8
2285,Ricardo,Ayala,77033229,ricardo2285,2,8
2286,Angel,Castillo,62731764,angel2286,2,8
2287,Marcelo,Limachi,76861063,marcelo2287,2,8
2288,Paola,Rojas,78163014,paola2288,2,8
2289,Juan,Rojas,72949430,juan2289,2,8
2290,Lilian,Aguilar,78255798,lilian2290,2,8
2291,David,Rivera,76797291,david2291,2,8
2292,Raul,Franco,71559718,raul2292,2,8
2293,Carolina,Marquez,65157202,carolina2293,2,8
2294,Wilma,Castro,69379974,wilma2294,2,8
2295,Carolina,Franco,67330350,carolina2295,2,8
2296,Karen,Delgado,76526505,karen2296,2,8
2297,Silvia,Paz,74073547,silvia2297,2,8
2298,Elena,Salazar,63623097,elena2298,2,8
2299,Sandra,Arnez,74076575,sandra2299,2,8
2300,Carlos,Quispe,73350375,carlos2300,2,8
2301,Lourdes,Calle,77375861,lourdes2301,2,8
2302,Walter,Choque,69763119,walter2302,2,8
2303,Milton,Arce,64225562,milton2303,2,8
2304,Maria,Calle,61960747,maria2304,2,8
2305,Diego,Medina,74302434,diego2305,2,8
2306,Walter,Delgado,75785935,walter2306,2,8
2307,Patricia,Condori,74699098,patricia2307,2,8
2308,Mauricio,Alvarez,61673234,mauricio2308,2,8
2309,Paola,Bautista,74341512,paola2309,2,8
2310,Gustavo,Marquez,71051748,gustavo2310,2,8
2311,Patricia,Aliaga,63516116,patricia2311,2,8
2312,Guido,Castillo,72859296,guido2312,2,8
2313,Rebeca,Solis,74819280,rebeca2313,2,8
2314,Karen,Castro,76963139,karen2314,2,8
2315,Roberto,Paz,72570032,roberto2315,2,8
2316,Paola,Rivera,76737615,paola2316,2,8
2317,Ricardo,Flores,74642755,ricardo2317,2,8
2318,Juan,Choque,68055862,juan2318,2,8
2319,Patty,Flores,63801028,patty2319,2,8
2320,Karen,Castillo,77571708,karen2320,2,9
2321,Natalia,Vargas,73513371,natalia2321,2,9
2322,Wilma,Ortega,62741797,wilma2322,2,9
2323,Julio,Ayala,66213575,julio2323,2,9
2324,Silvia,Peñaranda,64633239,silvia2324,2,9
2325,Elena,Chambi,78997524,elena2325,2,9
2326,Walter,Flores,62160629,walter2326,2,9
2327,Natalia,Vega,73496233,natalia2327,2,9
2328,Ernesto,Gutierrez,65781783,ernesto2328,2,9
2329,David,Arce,79666476,david2329,2,9
2330,Patricia,Cespedes,65990945,patricia2330,2,9
2331,Karen,Castillo,68288245,karen2331,2,9
2332,Carla,Huanca,79517074,carla2332,2,9
2333,Milton,Arnez,72608639,milton2333,2,9
2334,Mauricio,Marquez,66358802,mauricio2334,2,9
2335,Yesica,Marquez,67854218,yesica2335,2,9
2336,Lourdes,Calle,69417013,lourdes2336,2,9
2337,Victor,Cespedes,63434289,victor2337,2,9
2338,Elena,Cespedes,77657964,elena2338,2,9
2339,Elena,Choque,74260106,elena2339,2,9
2340,Erika,Ortega,73881546,erika2340,2,9
2341,Raul,Alvarez,79639183,raul2341,2,9
2342,Valeria,Auza,62219729,valeria2342,2,9
2343,Ricardo,Franco,74462113,ricardo2343,2,9
2344,Julio,Peñaranda,71558482,julio2344,2,9
2345,Yesica,Saavedra,74027022,yesica2345,2,9
2346,Oscar,Escobar,74857345,oscar2346,2,9
2347,Marcelo,Alvarez,79977141,marcelo2347,2,9
2348,Paola,Auza,63733252,paola2348,2,9
2349,Karen,Bautista,73947835,karen2349,2,9
2350,Javier,Peñaranda,78004341,javier2350,2,9
2351,Luis,Cordero,64115567,luis2351,2,9
2352,Lizeth,Franco,74585571,lizeth2352,2,9
2353,Ricardo,Choque,71910861,ricardo2353,2,9
2354,Luis,Castillo,73817466,luis2354,2,9
2355,Valeria,Loayza,64977581,valeria2355,2,9
2356,Natalia,Delgado,77665564,natalia2356,2,9
2357,Wilma,Paz,72258525,wilma2357,2,9
2358,Paula,Peñaranda,77994579,paula2358,2,9
2359,Carlos,Camacho,71724325,carlos2359,2,9
2360,Paula,Solis,67243134,paula2360,2,10
2361,Carla,Salazar,61355266,carla2361,2,10
2362,Eduardo,Limachi,67249757,eduardo2362,2,10
2363,Wilma,Loayza,73142422,wilma2363,2,10
2364,Gustavo,Huanca,67896823,gustavo2364,2,10
2365,Lizeth,Solis,62553711,lizeth2365,2,10
2366,Jose,Navarro,75664031,jose2366,2,10
2367,Guido,Aliaga,62138922,guido2367,2,10
2368,Claudia,Arnez,62424907,claudia2368,2,10
2369,Valeria,Aguilar,66940731,valeria2369,2,10
2370,Natalia,Delgado,79505800,natalia2370,2,10
2371,Veronica,Miranda,74449017,veronica2371,2,10
2372,Victor,Llanque,79288867,victor2372,2,10
2373,Oscar,Limachi,71661919,oscar2373,2,10
2374,Edgar,Arce,68573914,edgar2374,2,10
2375,Guido,Rojas,68095281,guido2375,2,10
2376,Carlos,Castillo,63026046,carlos2376,2,10
2377,Mauricio,Saavedra,75703221,mauricio2377,2,10
2378,Elena,Cespedes,67375753,elena2378,2,10
2379,Luis,Peñaranda,75278868,luis2379,2,10
2380,Natalia,Auza,67331930,natalia2380,2,10
2381,Edgar,Bautista,63890165,edgar2381,2,10
2382,Julio,Mamani,65512500,julio2382,2,10
2383,Angel,Garcia,71640691,angel2383,2,10
2384,Marcelo,Cordero,71519395,marcelo2384,2,10
2385,Eduardo,Castro,64561409,eduardo2385,2,10
2386,Sandra,Salazar,67927570,sandra2386,2,10
2387,Maria,Castillo,74671957,maria2387,2,10
2388,Angel,Calle,64322603,angel2388,2,10
2389,Paola,Llanque,65587859,paola2389,2,10
2390,Oscar,Alvarez,68332309,oscar2390,2,10
2391,Fernando,Choque,65922678,fernando2391,2,10
2392,Edgar,Marquez,67856310,edgar2392,2,10
2393,Raul,Paz,78888428,raul2393,2,10
2394,Yesica,Ortega,67575578,yesica2394,2,10
2395,Eduardo,Miranda,68910576,eduardo2395,2,10
2396,Roberto,Condori,65266304,roberto2396,2,10
2397,Walter,Vega,63467312,walter2397,2,10
2398,Carla,Cardozo,77115071,carla2398,2,10
2399,Mauricio,Arce,69501956,mauricio2399,2,10
2400,Rebeca,Escobar,78128880,rebeca2400,2,11
2401,Silvia,Garcia,62584334,silvia2401,2,11
2402,Victor,Ortega,69285059,victor2402,2,11
2403,Carla,Paz,76437320,carla2403,2,11
2404,Patty,Aliaga,73358988,patty2404,2,11
2405,Paola,Castillo,78837156,paola2405,2,11
2406,Romina,Marquez,69706914,romina2406,2,11
2407,Valeria,Cardozo,74394824,valeria2407,2,11
2408,Silvia,Arce,66586172,silvia2408,2,11
2409,Romina,Lopez,69701454,romina2409,2,11
2410,Fernando,Mamani,73393457,fernando2410,2,11
2411,Alvaro,Limachi,78371508,alvaro2411,2,11
2412,Maria,Salazar,74024203,maria2412,2,11
2413,Guido,Gutierrez,79751208,guido2413,2,11
2414,Paola,Vargas,63529593,paola2414,2,11
2415,Edgar,Aliaga,64136061,edgar2415,2,11
2416,Carolina,Rojas,63030801,carolina2416,2,11
2417,Claudia,Aramayo,71525542,claudia2417,2,11
2418,Romina,Gutierrez,69120582,romina2418,2,11
2419,Gustavo,Gutierrez,63731512,gustavo2419,2,11
2420,Yesica,Marquez,74840605,yesica2420,2,11
2421,Lizeth,Alvarez,77372609,lizeth2421,2,11
2422,Elena,Ortega,69562919,elena2422,2,11
2423,Carlos,Saavedra,68864296,carlos2423,2,11
2424,Diego,Quisbert,68964864,diego2424,2,11
2425,Daniel,Quispe,66088750,daniel2425,2,11
2426,Alvaro,Llanque,74110843,alvaro2426,2,11
2427,Carolina,Calle,63599523,carolina2427,2,11
2428,Guido,Camacho,76151074,guido2428,2,11
2429,Paola,Saavedra,72328738,paola2429,2,11
2430,Erika,Solis,73841472,erika2430,2,11
2431,Carlos,Vargas,76149929,carlos2431,2,11
2432,Yesica,Quispe,64200239,yesica2432,2,11
2433,Karen,Delgado,73224361,karen2433,2,11
2434,Raul,Cordero,74498177,raul2434,2,11
2435,Rebeca,Camacho,63352936,rebeca2435,2,11
2436,Claudia,Alvarez,69229778,claudia2436,2,11
2437,Julio,Solis,75961486,julio2437,2,11
2438,Lizeth,Paz,69909099,lizeth2438,2,11
2439,Raul,Solis,66718292,raul2439,2,11
2440,Eduardo,Chambi,71737124,eduardo2440,2,12
2441,Rebeca,Camacho,76281189,rebeca2441,2,12
2442,Gustavo,Medina,69607351,gustavo2442,2,12
2443,Lourdes,Rivera,65811344,lourdes2443,2,12
2444,Paula,Arce,66960787,paula2444,2,12
2445,Carlos,Vega,72372478,carlos2445,2,12
2446,Fernando,Calle,72329737,fernando2446,2,12
2447,Yesica,Miranda,76334395,yesica2447,2,12
2448,Lilian,Lopez,62970639,lilian2448,2,12
2449,Natalia,Chambi,64047280,natalia2449,2,12
2450,Raul,Chambi,61168440,raul2450,2,12
2451,Alvaro,Cardozo,69370144,alvaro2451,2,12
2452,Lizeth,Aguilar,66200571,lizeth2452,2,12
2453,Walter,Ortega,79714370,walter2453,2,12
2454,Mauricio,Ayala,76147704,mauricio2454,2,12
2455,Eduardo,Gutierrez,73393638,eduardo2455,2,12
2456,Gustavo,Salazar,79653367,gustavo2456,2,12
2457,Ernesto,Condori,78314983,ernesto2457,2,12
2458,Carlos,Llanque,65481235,carlos2458,2,12
2459,Elena,Peñaranda,76731626,elena2459,2,12
2460,Claudia,Escobar,76856304,claudia2460,2,12
2461,David,Navarro,72250672,david2461,2,12
2462,Carla,Saavedra,74043908,carla2462,2,12
2463,Lilian,Alvarez,67353531,lilian2463,2,12
2464,Yesica,Aramayo,66973042,yesica2464,2,12
2465,Silvia,Marquez,61790228,silvia2465,2,12
2466,Lizeth,Castro,62517397,lizeth2466,2,12
2467,Roberto,Choque,74772882,roberto2467,2,12
2468,Freddy,Garcia,71818641,freddy2468,2,12
2469,Yesica,Navarro,68713558,yesica2469,2,12
2470,Daniel,Llanque,79673563,daniel2470,2,12
2471,Javier,Lopez,66293892,javier2471,2,12
2472,Elena,Solis,63319938,elena2472,2,12
2473,Natalia,Miranda,75919175,natalia2473,2,12
2474,Walter,Vega,62460895,walter2474,2,12
2475,David,Cardozo,67034759,david2475,2,12
2476,Paula,Llanque,61123362,paula2476,2,12
2477,Roberto,Delgado,72366691,roberto2477,2,12
2478,Luis,Salazar,73552924,luis2478,2,12
2479,Paula,Limachi,79313125,paula2479,2,12
